content,score
kapok belanja disini. brp kali pesanan barang TDK diproses oleh bbrp toko. toko mati masih BS pajang jualan di toped. jauh ama apk sebelah,1
"pengirimannya lamban. saya pesan 1 barang di tokped dan pesan 1 barang di toko oren, tapi lebih cepat di toko oren sampe nya, bahkan jauh jauh lebih cepat. saya CO barang di hari yang sama, bisa di bilang duluan di toko ini saya CO, tapi yang sampe malah dari toko oren dulu.",1
"komplain dan keluhan di Tokopedia care lemot respon, proses penarikan dana gw masih tertahan dan itu ga dikit dan juga itu duiittt bukan dauunnn paham ga? pantes aja dibeli tiktok ternyata karna udah mau bangkrut, mending online shop lain",1
"Tidak adanya garansi pengiriman sehingga tidak ada kepastian datangnya. Pesanan dng status menunggu konfirmasi tidak bisa dibatalkan kalo sdh lewat 1 jam kecuali persetujuan penjual, Sedangkan pesanan dng status menunggu konfirmasi batas waktunya bisa sampai 10 hr untuk penjual merespon atau sampai pembatalan otomatis Seharusnya pesanan dengan status menunggu konfirmasi bisa dibatalkan tanpa syarat/persetujuan penjual sebab kalo ga direspon harus nunggu sampai 10 hr lg ini merugikan pembeli",2
oke good the mart,1
muantap,5
cepat,5
mantap,4
ok,5
bagus dan aman,5
"gak jelas mau chat sma cs yang bales boot terus, sekalinya tersambung lewat email, sarannyagak jelas pula mau minta pengembalian dana karna Toko salah kirim ribet, minta solusi terkait pengembalian harus balikin barangnya dulu harga sedangkan ongkir sama harga barang mahalan harga ongkir.",1
Bagus,5
bagus,4
golek wayang golek ♾️ Ooooooooooo ♾️ Ooooooooooo ♾️♾️♾️♾️♾️♾️♾️♾️♾️♾️♾️ ♾️♾️♾️♾️♾️♾️♾️♾️♾️♾️♾️♾️♾️♾️♾️♾️♾️♾️♾️♾️ Ooooooooooo ♾️♾️♾️ Ooooooooooo ♾️ Ooooooooooo ♾️ Ooooooooooo,5
aplikasi busuk gak bisa dipakai cuma loding aja ujung ujungnya suruh nyoba lagi.,5
Bener2 belanja ter aneh. pesanan sudah mau sampai tiba2 balik ke jakarta lagi,1
"jangan gunakan kurir JNE, tiap kali pengiriman pasti bermasalah.",1
baguss sekali,5
cool,5
"promonya hanya waktu tertentu saja, recommend lha klo promo murah meriah",5
aplikasi tidak jelasssss,1
Emang tokopedia gak ada dana ya buat hire customer sercice? Cape cuy komplain/ minta bantuan sama bot,1
terimakasih,5
wahh makasih tokped diskonnya sangat amat bermanfaat. Sering sering diskon yahh jgn lupa gratong nya hohoho.,5
mantap,5
"Lama2 kalah nih kalo produk olshop anak bangsa kek gini mulu... Coba tbah fitur menu ""baru saja di lihat"" kek punya si L ma oren... Jangan cman wishlist doang.. Feed nya terlalu kaku",2
good job,5
Baru pesan ke tokopedia lama nya minta ampun,1
"kapok ga mau beli di sini lagi,, bnyk penjual penipu,, dah gitu ngajuin komplain minta di balikin barang ga ada solusi,, beli apa yg datang apa,,, mending beli di shoppe ga pernahh mengecewakan...",1
nice banyak promo,4
terlalu banyak diskon / promo. mungkin tanoa sepengetahuan penjual. orderan saya ga ada yg di pick up !!!! proses nyq sangat lama. tingkatkan lagi koordinasinya !!! bisa tenggelam nih aplikasi klo seperti ini terus !!!,1
"pengiriman lama, maaf banget ya aku kasih bintang 3🙏🏻",3
belanja jadi mudah dan diskon lebih babyak,5
ga tegas sama seller yg bandel dan menyepelekan pengiriman masa pesanan nunggu 1 minggu gaada kabar dan gaada respon chat minta cancel aja sulit bgt dan tetap maksa dikirim,1
"makin kesini toped makin buruk pelayanan, mode pembatalan pembelian susah di akses, banyak penjual yang tidak kooperatif di biarin. barang di proses tidak dikirim kirim,di batalin juga tidak bisa. di chat tidak di respons TOKOPEDIA mundur ke jaman jahiliyah. sudah hub CS tidak ada solusi.",1
sekarang buat posting sulit tidak langsung lolos,3
"sangat Kecewa sama toped, barang lama sekali tidak dikirim2 dan akhirnya pembelian dibatalkan sistem tapi yg dikembalikan ke DAna cuma harga barang, biaya ongkir dan jasa layanan tidak dikembalikan",4
lumayan,1
sangat bagus sekali aplikasi toko pedia nya,5
Ok,5
mantab,5
tertarik diskon& promosi nya👍,1
"parah gue gak pernah transaksi di tokopedia tau tau saldo dana saya di potong enak kalo dikit 200 ribu ,gue lihat transaksi di akun dana saya di potong pembayaran tiktok shop tokopedia",1
"Tolong dong kepada pihak staf dan jajaran serta bos nya tokped, jangan suka maké atau muterin dana pembeli, jadi modusnya kita order pembayaran TF nyatanya barang kosong dan akhirnya dana nyangkut di saldo tokped. masa sejak TF selama empat hari gak di proses² ujung²nya barang kosong. dasar mental pencuri lah Saya udah sering begitu jadi males belanja di tokped.",1
ok,5
"penarikan dana sulit jika ada produk yang tidak di proses pembeli hruse nunggu lama,blum lgi klok sudah bisa di batalkan msih suruh nunggu penarikan,padahal tokonya tidak memberi respo sama sekali",1
"Ini aplikasi makin aneh kadang sush upload foto saat kasih penilaian, makin lemot, dan sering mengalami ganguan di rumah tokopedia.. Anehhhh",1
Bismillah,5
"kerenlah pokoknya tokped. banyak diskonnya. ajukan komplain gampang. pusat bantuannya fast respon. jadi gampang laporannya ga takut uang hilang kalau ada toko mau tipu2, asal punya video unboxing aja. Semoga tokped semakin tegas sm akun2 penipu, biar ga banyak makan korban. biar belanja tambah nyaman.",5
bagus,5
"apk gak guna, iklannya maksa untuk download",1
tidak bisa hapus percakapan,1
"Makin ke sini makin ke sana, cs ampas. komplain barang ga sampai tidak di tindak padahal udah di kasih waktu tambahan 2 hari malah molor 3 hari bahkan ga selesai selesai juga tuh komplain di pusat resolusi. mending beli apa apa di shopee aja sih kata gw mah, komplain satset ga kek karya anak bangsa ini lemot",1
lumayan,4
mantap lah,5
dulu kalo ganti nomor hp gampang sekarang dah lama bikin gw kesel asuu,1
sangat berguna,4
"I'm very love tokopedia, hahahaha sukanya ngasih promo dadakan ih, tapi kalau tanggal kembar belum tentu di kasi promo. lebih ngutamain promo akun lama dari pada akun baru, kalau ngasih promo potongan nya ga main main ih ga pelit, walau respon saler nya agak slow tapi its okey, pengiriman nya pake j&t jadinyaa sukaa soalnya cepet, sampe akrab sama kurirnya juga. buat tokopedia tumbuh semakin baik lagi yaa! banyakin promonya lagi+gratis ongkir. tolong pertahanin j&t yaa. big love untuk tokped ku!",5
toooppp,5
masa upload jualan malah otomatis jadi draft gak bisa di selesaikan,1
respon oke,5
"tolong dong tokopedia,,,produk bapel hijau 16 jangan di blokir dong,,,saya udah langganan banget sama produk tersebut tapi produknya malah di blokir sama aplikasinya...",5
kok gini amat ya Tokopedia tiba tiba banget pesanan di batalkannnn dari sistemmmm,1
mantap tokopedia cepat pelayananya maju terus jaya,5
Menyala 😁,5
Karena Lengkap,5
jadi cerita nya akun utama saya tidak pernah ada voucher gratis ongkir padahal saya sering belanja pke akun utama saya coba pake akun ke dua & ketiga saya nah heran nya akun lain selalu dapat voucher gratis ongkir,3
banyak bugs nya,1
bagus,5
Aplikasi sangat berat dan memorinya juga besar,4
🤙🏻,5
"toko di tokped banyak yg nipu, pesan minyak yg dikirim casing hp.",1
customer servicenya slow respon banget !!!kecewa,1
terimakasih mantab aplikasi terbaik bisa belanja dengan mudah,5
mantap,5
"Ada penjual yang sudah lama tidak aktif namun tetap memostingkan dagangannya, dichat gada respon. parah terus saya pesan barang alamat sudah sesuai malah dibilangnya di sistem alamatnya tidak di temukan, padahal di shopee aman aman aja. parah mau chat ke cs tokpednya gabisa, ribet",1
hebat topet,5
recommended,5
wow,5
"tokopedia tdk bisa melindungi konsumen banyak mitra2nya mengedarkan hp palsu dan tdk ada tindakan bila konsumen komplain,apa gk ada seleksi/kontrol iklan yg ada di tokopedia",1
terima kasih,5
Starparts88 tolong Di tindak akun fake ngejual barang2 ori kata Toko nya. Tolong di serang netizen akun toko Starparts88,1
kategori filter nya ngaco 🤣🤣🤣,1
"tolong kembalikan uang saya yg tiba"" ke tarik otomatis dari dana ke Tokopedia 51rb ada 3x transfer cuma bedh 1 menit semua nya minn🙏",1
saya kasih bintang 3 dulu jika barang sesuwi aku tambai lg bintang,3
"Jelek bngt, barang tidak sampai di saya tapi uangnya stuck, udah ajukan COMPLAIN juga dibalesnya oleh BOT. Customer benar benar tidak punya jaminan aman belanja disini.",1
"Tolong sediakan fitur cari produk pakai foto dong, biar lebih cepet nyarinya. Kadang susah kalo cuma pakai ketikan 😭",3
pesenan gw selalu di batalin,1
"keberpihakan penuh untk platform ini, mudah dpakai dgn segala informasi yg jelas",5
pengiriman yang sangat lama!!!!,1
burik,1
bagus banget aplikasi nya,5
Kenapa sih akhir-akhir ini koq sering logout sendiri dari alun toped?,1
praktis dan cepat,5
bagus banget 👍,5
"saat ini aplikasi banyak gangguan, please di refresh kembali",5
tambahkan batas maksimal keranjang belanja,1
"PELAYANAN CS HRS DI PERBAIKI, SEKARANG TOKPED GA FAST RESPONSE LAMA BANGET BALASNYA TERUS KALAU ADA KENDALA PEMBELIAN LAMA BANGET SOLUSINYA, MASA KITA BELI BARANG UDAH HAMPIR 5-6 HARI GA DI KIRIM2 HARUS TEGAS SAMA PIHAK TOKO",1
Mohon dbenahi agar bs dpke,1
"kurir lambat, tidak rekomendasi sesama kota sampainya 2 Minggu lebih baru sampai paketnya, payah",1
membantu,5
"Mohon untuk tokped agar membenahi sellernya, banyak yang gak aktif/respon lama. Selain itu fitur gratis ongkir juga jangan hanya JNE saja, lama sekali layanan kirim expedisi ini.",5
"banyak barang palsu, tidak sesuai deskripsi, barang rusak/reject. penyelesaian masalh dengan penjual sulit, kadang tidak memihak konsumen, penjual nakal dibiarkan tetap berjualan. tambahan... klu memang toko tutup/libur jgn buka layanan. pesan barang tgl 3 april 2025 sampai hari ini tgl 7 april hanya proses. minta batal harus nunggu persetujuan toko smpai tgl 9 april. tolol amat ya. duit udh masuk, barang mau dipake, tp proses aja ngga. sepertinya udh cukup pake aplikasi ini.",1
bagus kak,5
banyak sekali kendala,1
gak bisa belanja pake payleter ke blokk,5
ok,4
bagus,5
mantap,5
Apakah CFS di Tokopedia care berfungsi ya ? Mohon ditanggapi,4
Alhamdulillah,4
oke bagus,5
untuk proses pembatalan pesanan sangat lama harus nunggu penjual dulu apalagi nunggu otomatis batal dari sistem kebanyakan penjual kurang responsif dalam membalas chat dan memberikan informasi mengenai barang yang dipesan kalah sih sama shopee dan lazada rating paling buruk pesanan udah seminggu belum juga dikirim mengecewakan sekali Tokopedia mending pake shopee atau lazada yang sat set,1
lebih di tingkatkan lagi,5
bagus,5
mungkin kurirnya saja sih yg kurang sat set. juga ada beberapa toko yg kurang respon saat membalas chat. semoga kedepannya diperbaiki dan lebih menyenangkan lagi belanja online lewat tokped,4
🙏,1
"gajelas di cancel ga ada respon sama penjualnya, mana sistem diam aja tiba"" udah di kirim pas di liat lagi besoknya hadeh",1
bagus,5
aplikasi terlalu banyak makan ram,1
"ini cs cuman satu kah harus nunggu dulu cs nya bales, udah mah pembatalan harus nunggu confirm dari penjual udah tau penjual gk balas chat dari kapan taun, pembatalan di apps lain lebih cepet loh,",1
semoga kedepan bisa jadi solusi,4
oke,5
mantaps sekali ......,5
Bgus,5
aktifkan paylater saya woiii,5
bnyak toko nipu2 nya,1
pelayanan luar biasa dan mudah dipahami,5
aneh banget kurir dari tokped ngabarin paket mau DTG sore di tungguin depan gang sampai mabgrib padahal Uda di kasih tau alamatnya lewat wa tau nya barang di kembalikan ke tokoh Uda lama nunggu komplain sama aja aduh parah si ini kecewa saya,1
"cs lama bgt no respon, untuk ganti nomor hp susah bgt lama dan ribet pdhl butuh buat pengembalian dana.",1
👍👍👍,5
puas,5
"kenapa uang di akun dana saya terpotong sendiri oleh pihak toko pedia , padahal saya ngak psan apa² bos, klau bisa upload foto . akan sya upload ini bukti nya",1
"bagus, thanks u",5
is the best,5
return aja harus ada persetujuan dulu dari penjual aneh.,1
aplikasi yang sangat membantu bagus lanjutkan,5
keren,5
"belakangan Tokopedia banyak seller hantu , barang di display oleh toko llalu konsumen sudah bayar dan siap kirim. tapi seller unistall aplikasi dan membiarkan sampai akhir nya transaksi di batalkan. ini kerugian konsumen karena wajib nanggung biaya transaksi. mohon dengan sangat untuk Tokopedia memeriksa status penjual , apakah masih berjualan atau tidak ? Tokopedia bisa hide seller seler yang sudah tidak aktif agar tidak menyusahkan konsumen yang serius beli.",3
alamat : catatan kurir (opsional) tapi kenapa kalo gak diisi terjadi kendala🥲,4
ok banget👍,5
"kecewa banget, sama toko dan sana toko pedia nya, saya beli Hoodie sejak tanggal 3 sampe sekarang belum di kirim Uda bilang ke toko pedia nya tapi respon nya ga banget, terus kata penjual Hoodie nya habis tapi ada checkout an nya gimana coba saya Uda tungguin lama lama Uda tungguin mereka libur tapi ga dapet apa apa, terus juga respon toko pedia nya apa? bantuin saya? enggak, tolong lah kasi solusi",1
tokopedia sudah tidak profesional. barang lebih dari 2minggu tidak nyampe2. pengembalian dana juga susah.,1
cukup sederhana dan menarik.,4
ok,5
Sangat membantu,5
pengirimannya lama banget dah 5 hari blom di kirim kirim tolong min di perbaiki lagi,1
"saldo saya gak direfund padahal sudah lewat batas yang disebutkan, customer servicenya gak pernah bales chat, yang jawab bot terus dengan jawaban yang sama, ditelpon yang angkat juga bot, tidak ada tempat untuk melapor, ini baru pertama kali saya pesan udah kek gini",1
"masuk ke home tokpednya lemot,padahal jaringan provider di hp sya bisa buat nonton yuklub lancar no bapring,tapi mau masuk home tokpednya lelet gak jelas",1
ok,5
best app,5
hari² paket nyasar udh gitu komplain gk ada respon kocak,1
aplikasi banyak bug,2
good,5
mantap....,5
"Sudah 2 kali pesen barang yg berbeda tidak sampai sampai dan status barang dikirim hilang dari notifikasi, lapor ke penjual disuruh hubungi cs tokped bingung mao lapor gmna sedankan setatus barang dinotifikasi, kok bisa status barang di notifikasi hilang",1
"ada bug,bikin hp eror",1
asli parah paket lama nyampe eh ternyata bug salah alamat kok bisa kasia driver Cok atuh ye baleg tokped ... sudah pilih alamat knp bisa salah,2
"Tolong dong ubah sistem pilih kurirnya, walaupun dapet voucher gratis ongkir tapi setidaknya kita bisa milih kurirnya kesel banget sama pengiriman yang lambat. Yang biasanya bisa lebih cepet sehari dua hari di toko sebelah, disini bisa hampir seminggu.",3
"Aplikasi Payah.. Baru Pertama Pakai Tokopedia ternyata bener pengiriman lama.. Co tgl 5, Sekarang tgl 7 masih belum diserahkan ke pihak expedisi (masih di seller)🤦‍♂️ kalo masalah harga, memang ada beberapa seller yg harganya miring (murah) sy akuin itu. kalo masalah pengiriman, Oyen yg paling bagus (Tiada Duanya)",2
gimana ini tokped.paket saya sudah di retur tapi dana saya belom kembali..kacauu,5
ok,5
lemot... sering log out jg.,3
good,5
bagus,5
ongkir nya mahal satu lagi kemarin komplen barang ribet banget njirr.. masa ia ada ongkir nya beda kaya Shopee mana nggak dikembalikan enek,1
ap nya bagus,5
"Awalnya Bintang Lima Ganti Bintang Satu, kurir Sblm ramadahan thn 25 sampai syawal recomendasi expedisi ndak sesuai ndak grecep lembat bener hampir 10 toko tempat beli jelek semua masa belum lagi ada kendala barang ilang segala",1
"TOKPED SEKARANG PELAYANANYA BURUK, !!!!!!",1
"Tidak disarankan pakai 'kurir rekomendasi' karena pengiriman lama, kesannya itu bukan barang yang harus dikirim dengan tepat waktu. Mohon maaf kalau ada aplikasi yang lebih baik saya bakal pindah, tapi bukan ke aplikasi oren juga!",1
pengiriman terlalu lama sudah seminggu saya tunggu dan masih belum sampai besoknya baru sampai,1
saldo dana saya di Ambi Tokopedia kurang ajar,1
mantapp,5
"pelayanan yang baik, dan mudah digunakan",5
nice,5
"tidak bisa belanja, karena gk mau muncul keranjangnya, aplikasi lemot buka barangnya",1
lebih mentingin seller di banding buyer,1
mantapp,5
nice,5
"baru pesen 3 menit susah bgt mau batalin harus nunggu persetujuan seller , lieur",1
pengiriman nya lama udah 6 hari belum sampe rumah padahal deket cuma dari jakarta ke bandung,1
"Pengiriman di Tokopedia sering lambat dibandingkan Shopee, terutama dengan layanan seperti Kurir Rekomendasi Tokopedia. Perlu peningkatan dalam kecepatan dan keandalan kurir untuk pengalaman belanja yang lebih baik.",1
belanja mantap,5
Nicee,5
berguna,5
"Search engine'nya diperbaiki dong , diketik apa , yg keluar apa...",2
"tokopedia memberi waktu sangat lama untuk penjual mengirim barang sehingga untuk pembatalan kadang harus menunggu lama, padahal sedang butuh butuhnya dana tidak bisa ditarik. apalagi kalau kita tidak sengaja check out di toko yang sudah tidak aktif/ aktif hanya menjahili kita, saya sudah berapa hari barang tidak dikirim, chat tidak dibalas tapi dibaca, dan oleh tokopedia care disuruh menunggu. saya memilih toko yang satu kota niatnya agar cepat, malah lama. saya sekarang lebih suka mp sebelah",1
lebih murah dari yang lainya,5
mntap,5
"banyak penipu di e-commerce ini, jangan install",1
bagus,5
"ganti tu rekomendasi expedisinya ,. jangan kau pake ID express. pengiriman lelet bgt , g jelas resinya , g tanggung jwb kalau barang ilang . respon CS minus juga. apa bagusnya expedisi ID express , orang banyak minusnya masih aj di pake . makin sepi kau pengguna Tokopedia.",1
ngga bisa upload produk di Tokopedia seller.. keterangan selalu params is empty.. maksudnya gimana? penjelasan nya nggak ada... gimana nihh solusi nya?,3
"Dear developer Tokopedia, kalo mau niat aplikasinya lebih maju dibandingkan si oren gampang gausah neko neko, kasih suplai diskon ongkir buat pengiriman, cekek banget ongkirnya kalian, harga murah ongkir cekek padahal mitra ekspedisi sama kayak si oren, inimah ongkir bahkan ampe 20 persen dari harga barang udah gak waras banget, udah 11 12 kayak official web store suatu produk😂",1
makin kesini makin parah barang ga di respon oleh penjual sudah 3 hari minta di batalkan malah harus nunggu sampai nunggu tgl 9 kenapa ga 1 tahun sekalian bikin malas pakai toko pedia lagi,1
aplikasi yg sangat bermanfaat,5
ok,5
bagus lh tokopedia tpi cod banyak tidak ada dan ongkir terlalu mahal,5
"cuma ada di tokopedia pedagang kirim barang seenak dengkunya, di kirim di batas waktu akhir. Saya tdk pernah mengalami hal semacam ini di shopee.",1
mantab,5
mantap 👍,5
Mudah penggunaan nya dan Sangat membantu ...,5
tolong dibenerin lagi pengirimannya pesen dari dua hari lalu tapi gaada update di proses mulu,2
voucher tiap mau di check out lgsg tiba tiba gabisa di pake,1
bayar ditempat toko pedia harus ad biar bisa bersaing dengan aplikasi oren,5
good,5
"Tolong dong itu pihak tokped bilangin sama pihak kurir atau ekspedisi nya jangan lama lama, sudah 5 hari paket saya belum di pick up sama kurir jadinya ya ga jalan tu paket, Biasanya ga gini ini malah lemot banget buat pick up nya",1
"makin kesini pengiriman barang lama banget,,ga kaya di toko sebelah.misal pesan tanggal 5 ampe tanggal 7 barang belum jg di kirim.hadeuh bikin kapok belanja jg.",1
"ini apk eror kah? mau chek out juga ada tulisan eror ,",2
kecewa Paylater nya di blok padahal belum pernah nunggak,1
tiba tiba di batalkan terus udah ganti akun juga sama aja,1
Min ini lagi gangguan kah? kok gagal mulu. keterangan sedang bermasalah terus,3
di buat trasaksi cod tdk bisa,2
"tolong pihak tokopedia hilangkan seller² sampah yang merugikan masarakat, dan dari pihak J&T juga tidak bisa menyaring paket sampah yang di kirimnya.",1
pengalaman belanjanya menarik,5
"tokopedia sangat membantu utk mencari produk2 secara online, lebih aman",5
"knapa uang di dana saya hangus di ambil ke toko pedia ka pdahal sya gak pesen apa"" .apaa bsa di kembalikan ka",2
top,5
"pengiriman lama asw di toko sebelah kaga perasaan, tolong pengembalian dana nya dibuat langsung otomatis!",1
banyak bonusnya,5
baguussss,5
aplikasi gak nisa terinstal pdahal memori masih tersedia lebih dari 1 gb,3
"baru pertama saya belanja di aplikasi ini produk ga nyampe,entah gimana sistem nya,skor saya di online ko jadi jelek yah, padahal kurir antar k alamat tujuan nya yang sialan,bego ga ketemu alamat saya masa produk belanjaan saya di retur,di kembalikan lagi ke toko,nyampe juga belum ke alamat saya",2
mantapp,5
"pengiriman lemot..udah seminggu lebih stuck di kurir ga gerak.. beda sama sebelah, selalu tepat sama estimasi waktu yang ditentukan",1
pelayan toko sih ok...sYang sekali yg di andalkan ya pengiriman..dan nilai nya jeblok parah total..tolong di perbaiki total,1
selalu di PHP in dgn promo sampah,1
"keren toped 1 aplikasi dengan berbagai kemudahan belanja dan pembayaran, kalo bisa saya kasih saran tolong dong buat pelacakan pengiriman di kasih tau posisi yg tepat seperti dalam maps itu aja sih selebihnya oke",5
baik,5
woi tokopedia saya kena tipu minyak harga nya 90an di kirim nya case hp rugiii tolong perbaiki tokopedia pantes sepi (nama penjual penipu : AYUGROSSIR99) tolong tokped blokir penguna itu merugikannn,1
praktis,5
agak susah ya mau ganti nomor di apk ini..udah mau isi nomor eh gatau nya langsung di aliran kode verifikasi nya ke wa padahal disitu ada pilihan pengiriman kode sms atau wa. langsung otomatis dikirim ke wa.. nomor yg diganti gak ada wa nya.. udah berapa x dicoba gitu juga,3
"saya pengguna baru, tetapi saya tidak dapat mengunakan diskon pengguna baru sebesar 35k mengapa itu terjadi mohon bantuannya.sudah tetapi tidak di jawab emang anj",1
download tokopedia gara2 momoyo,4
klo tokkped gak nonaktifin jne bner2 akan merugikan.. paket lama bgt sampe dan lewat estimasi penanganann lambat.. seharusnya pihak jne kena sanksi.. merrugikan.. masa seminggu lebih lewat estimasi gak ada keemajuan tracking..bner2 kecewa ama tokped,1
kurirnya lama ngirimnya di aplikasi sekarang malah dikirim lusa luama kurirnya,1
siiip👍👍,5
"Teruntuk Tokopedia Yang Terhormat,Tolong Putus Kerjasama Dengan Pihak Ekspedisi J&t,Karena Eskpedisi Itu Karyawannya Pada Tidak Niat Bekerja,Paket Saya Ditahan Terus Dengan Alasan Nomor Bermasalah,Padahal Nomor Saya Standby Aktif Terus",4
keren,5
ok,5
sangat membantu jd ringan biaya tanpa ongkir,5
mantap,5
ngebug mulu,1
"Saya co barang, pembayaran pertama gagal terus saya bayar lagi dan berhasil namun riwayat transaksi di tokok pedia tidak ada tapi saldo dana saya berkurang. Kacau banget tokped",1
"tolong untuk Tokopedia, jika chat dengan admin cs nya fast respon seperti toko shop yang lain, lagi urgent karena mau batalin produk tapi gabisa dri tokonya malah gada respon",3
ok,5
bagus,5
banyak akun penipuan tolong lebih tindak lanjut akun akun bodong!,2
mantap,5
ok bgt,5
gimana si Tokopedia ko kirim barang kurir ga hubungi pelanggan nya kalo mau kirim barang gimana mau ketemu alamat pelanggan nya kalo ga hubungi pelanggan nya hadeh 🤦‍♂️🤦‍♂️🤦‍♂️🤦‍♂️ tambah parah kurir nya ngambil uang pelanggan tapi barang tidak di Terima gimana si Tokopedia lambat tangani ini,1
baxk diskon,4
tolong perbaiki playleter nya tidak bisa dipakai kembali?,3
keren aplikasi nya,4
recommend berbelanja di tokopedia,5
pihak tokped tidak bertanggungjawab pada pembeli dan sangat melindungi toko yang menjual barang ilegal tanpa ada batasan usia sehingga pembeli yg usianya dibawah 21 thn kebawah sangat mudah membeli produk ilegal seperti alat rokok elektrik,1
"bagus,krn terkoneksi dgn gopay",5
bagus sih cuman pengiriman nya lama tidak sesuai sama tgl sampai di app harus nya sampai tgl 4 tiba tiba jadi tgl 8 kecewa sih tapi ya gmn terlanjur sekarang juga belum sampai pengiriman lambat bantuan dari tokopedia tidak membantu hampir 9 jam saya tunggu tapi tidak datang datang malh yg datang duluan yg dari Shopee tokopedia lelet,1
bener bener bikin emosi customer service Tokopedia ngga ada solusi cuma bisa nunggu nunggu Ngga bisa bantu Nyelesain permasalahan pembatalan produk sudah di persulit sama seller. customer service nya nol 👎👎👎👎👎,1
"saya tidak ada masalah sama sekali dengan Tokopedia yang jadi masalah adalah layanan EKSPEDISI ANTERAJA sampah, paket di proses lama bisa berhari hari, hasil rusak , kadang ilang, tolong kalo ekspedisi nya ga bagus ga usah di pake tokped saya sangat kecewa dengan pelayanan nya ekspedisi anteraja, saya memesan barang dengan nominal 5 jutaan barang sampe 2 hari masih belum di picup dan lama sekali sampenya udah kedua kalinya seperti ini, TOLONG JANGAN MAKE LAYANAN ANTER AJA",1
sistemnya sering eror mau ganti nomor verifikasi yg aktif tidak bisa saldo jadi melayang,1
"costumer service buruk,dichat tdk d bls",1
blja lengkap....mantap...mksiii,4
sering error,2
"saya turunin jadi satu bintang,karena proses pengiriman dari toko yg kurang baik,ada yg pengirimannya berputar-putar,ada yg masih diproses atau menunggu kurir alias belum diantar baik membeli barang secara tunai ataupun cash on delivery bahkan sampai melewati batas tanggal estimasi barang belum dikirimkan, seharusnya pihak Tokopedia menegur seller atau jasa pengiriman yang mempermainkan waktu pengiriman,karena saya tau Tokopedia adalah online shop terbesar di Indonesia masa kualitas kurang bagus",1
mantap,5
"makin ke sini makin ga aman, respon cs nya pun lama kalo ada masalah. setelah itu ga di temukan solusinya, hanya sekedar respon saja. jadi pembeli atau jadi penjual di ribetin. padahal udah hampir 10 taun pake ini. ga makin baik, ya berarti di tinggal.",1
wau,5
makin kesini makin sering error,1
keren sih..baru blanja lagi di tokped..bnyk promo bngt,5
"Customer servicenya tidak merespon disaat genting, penjual juga. padahal saya udah bayar tapi gk dikirim² minta bantuan customer service, tapi tidak ada respon. Terburuk, udah direspon tapi gk menyelesaikan masalah, percuma kalo gitumah. tetap terburuk",1
"selalu pengiriman nyasar,kaga tepat sasaran",1
"dari kemaren ngestuck di sortir ga jalan"", nanya ke admin tokpednya noresp. perbaiki lah, masa tokped sesampah ini",1
sangat mudah,5
ongkirnya mahal2,2
akan saya kasih bintang 5 kalau sistem penilaian dibikin sendiri sendiri kayak toko sebelah. karena banyak jasa pengiriman yg lelet.mau ngasih rating jelek ekspedisinya tidak bisa karena tergabung sama rating penjual.padahal penjual banyak yg bagus pelayanannya.,3
"aplikasi yang hanya menang tampilan UI doang untuk pelayanan buruk. respon cuman bot doang . sekali nya bales ngaret nya berjam jam gede biaya layanan nya dan terus meningkat kagak bakalan turun paling ngeselin kalo masalah pengembalian barang yang di bikin ribet . untuk penjual jg sama aja kyk aplikasi jualan yg lain, cuman di sini masih banyak yg kgk jujur , pemain tukang tipu",1
oke,5
obat bagus,5
"hari ini saya betul2 kecewa, saya ingin membatalkan pesanan, penjual tidak mau membatalkan, saya lapor ke Tokopedia Care ingin dibatalkan, namun Tokopedia tidak merespon, sungguh kejam",1
ga bisa ngasih ulasan ke penjual complain produk sama pengembalian dana jg ga bisa parah banget mana ongkir nya mahal jauh banget sama toko orange,1
e-commerce tai,1
cukup baik,3
saya tidak merekomendasikan aplikasi ini karena saya transaksi stu barang aja langsung di tolak S&K yang tidak di ketahui alasanya dan saat saya mau cek apa yang saya tidak penuhi dalam S&K saya tidak bisa melihat karena web tidak di ketahui. apakahbegini cara operasi tokopedia?,2
gak ada yang gratis😭😭😭😡,1
"aplikasi bagus,,cuma di pengiriman blum punya map untuk melacak pengiriman,dan ongkiry agak mahal,,dan pengiriman lambat,estimidasi terima juga terlalu jauhh,masa sampai 1 bulan,,aplikasi shoppe emang the best,pengiriman pling lama 4 hari ke NTB",1
"ulasan bintang 1 ke 3 ini min, Voucher event tokopedia hilang padahal belum ganti hari, chat CFS dari kemarin sampe pagi ini tidak ada balasan atau sambungan ke CS kalo bisa kirim foto udah di kirim ini bukti bahwa penanganan tokopedia sangat buruk",1
sangat bsgus,5
trimakasih,5
barang datang sesuai pesanan,5
"sekarang ngeri ongkir nya,besaran ongkir dari harga barang nya",2
aplikasi sampah langganan tokopedia plus 6bulan di hentikan tanpa pengembalian dana. uninstall tokopedia uninstall gojek uninstall gopay,1
"toped terlalu berpihak pd seller konsumen yg sll drugikan. contoh pembatalan order tdk ada opsi alasan krn kesalahan seller misal barang kosong, tdk ada konfirmasi dll. batal otomasi jangka waktunya lama banget bisa 5-6 hari. harusnya ckp 2 hari sj!! makin lama nambah buruk!!",1
apalah kaga bisa login ke akun gw padahal no hp aktip Gmail aktip hadeh,1
